emp_no,first_name,last_name,birth_date,from_date,to_date,dept_no,title
54678,Tonny,Marchesini,1964-07-03,1987-03-01,9999-01-01,d002,Staff
54688,Nirmal,Penttonen,1964-10-21,1995-10-30,9999-01-01,d005,Engineer
54694,Ebru,Melton,1964-06-27,1988-02-17,9999-01-01,d004,Senior Engineer
54723,Shay,Bellmore,1964-05-24,2002-01-10,9999-01-01,d009,Senior Staff
54725,Holgard,Anido,1964-07-23,1987-12-01,9999-01-01,d005,Senior Engineer
54750,Zhanqiu,Beilner,1964-10-09,1994-09-20,9999-01-01,d009,Staff
54771,Tetsurou,Peir,1964-10-08,1992-06-09,9999-01-01,d005,Senior Engineer
54776,Hyuckchul,Rossi,1964-02-22,1988-11-25,9999-01-01,d008,Senior Staff
54780,Tsuneo,Demke,1964-08-15,1987-09-21,9999-01-01,d004,Technique Leader
54785,Huai,Conte,1964-03-25,1998-06-08,9999-01-01,d005,Engineer
54791,Valdiodio,Hockney,1964-07-18,1987-12-20,9999-01-01,d009,Staff
54794,Candida,Conde,1964-04-02,1995-02-24,9999-01-01,d004,Engineer
54795,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01,d004,Staff
54800,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01,d007,Staff
54814,Wilmer,Akazan,1964-08-25,1988-01-16,9999-01-01,d004,Senior Engineer
54838,Arvin,Hainaut,1964-09-12,1992-12-18,9999-01-01,d007,Staff
54852,Kiyokazu,Slaats,1964-08-13,1993-05-23,9999-01-01,d008,Staff
54861,Huiqun,Ratzlaff,1964-10-19,1987-09-25,9999-01-01,d005,Senior Engineer
54894,Palash,Pews,1964-03-20,1998-09-22,9999-01-01,d007,Staff
54900,Khalil,Stemann,1964-02-22,1986-07-03,9999-01-01,d007,Staff
54911,Muneo,Verspoor,1964-08-23,1994-02-19,9999-01-01,d004,Engineer
54916,Gita,Perng,1964-08-15,1997-08-15,9999-01-01,d009,Staff
54938,Yakkov,Tempesti,1964-04-09,1996-07-03,9999-01-01,d005,Engineer
55006,Elliott,Tchuente,1964-06-28,1994-10-10,9999-01-01,d004,Senior Engineer
55021,Youngkon,Zaumen,1964-07-25,1985-11-15,9999-01-01,d007,Staff
55025,Kazuhiro,Beilner,1964-12-04,1985-05-12,9999-01-01,d005,Senior Engineer
55031,Katsuyuki,Zongker,1964-12-25,1989-10-29,9999-01-01,d002,Staff
55033,Aiichiro,Lorho,1964-09-27,1987-05-09,9999-01-01,d003,Staff
55051,Conal,Beznosov,1964-12-24,1993-09-06,9999-01-01,d005,Engineer
55072,Yakkov,Spataro,1964-12-08,1992-08-10,9999-01-01,d004,Senior Engineer
55088,Heng,Businaro,1964-04-03,1996-09-19,9999-01-01,d007,Staff
55136,Shiv,Cyne,1964-03-14,1997-07-01,9999-01-01,d003,Staff
55148,Aimee,Yetim,1964-03-31,1994-07-22,9999-01-01,d005,Senior Engineer
55202,Ranga,Tsukuda,1964-05-05,1998-10-11,9999-01-01,d005,Engineer
55222,Huican,Danecki,1964-08-22,1995-12-11,9999-01-01,d008,Staff
55244,Changho,Merlo,1964-06-24,1992-01-16,9999-01-01,d003,Staff
55292,Anneke,Bennet,1964-06-10,2000-12-23,9999-01-01,d006,Senior Engineer
55293,Nalini,Bazzichi,1964-08-03,1990-12-12,9999-01-01,d008,Staff
55322,Garnik,Heijenga,1964-03-15,1985-09-09,9999-01-01,d004,Senior Engineer
55360,Aemilian,Mitzlaff,1964-01-16,1998-06-25,9999-01-01,d006,Senior Engineer
55376,Kristen,Pezzoli,1964-09-13,1992-01-27,9999-01-01,d004,Senior Engineer
55387,Tran,Birsak,1964-04-25,1998-06-25,9999-01-01,d007,Staff
55457,Xiahua,Rusterholz,1964-01-11,1989-10-20,9999-01-01,d007,Staff
55495,Billur,Lodder,1964-02-23,1997-02-17,9999-01-01,d004,Engineer
55513,Yaghout,Gulak,1964-06-22,1994-12-12,9999-01-01,d002,Staff
55536,Jungsoon,Baba,1964-01-11,1987-02-07,9999-01-01,d007,Senior Staff
55547,Jeong,Gente,1964-08-11,1995-01-17,9999-01-01,d004,Technique Leader
55562,Nikolaos,Schrift,1964-06-14,1997-05-13,9999-01-01,d002,Staff
55564,Danil,Akazan,1964-04-30,1994-06-15,9999-01-01,d005,Engineer
55573,Sachio,Pocchiola,1964-05-09,1993-05-16,9999-01-01,d005,Engineer
55607,Mayumi,Detkin,1964-07-30,1994-11-04,9999-01-01,d001,Staff
55611,Moss,Kuszyk,1964-07-14,1999-06-09,9999-01-01,d004,Engineer
55618,Terresa,Heering,1964-04-21,1995-07-30,9999-01-01,d007,Staff
55627,Basem,Yurek,1964-08-30,1995-12-17,9999-01-01,d008,Staff
55638,Younwoo,Lortz,1964-06-06,1996-10-26,9999-01-01,d005,Engineer
55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,d004,Senior Engineer
55648,Valery,Pettey,1964-05-12,1995-04-20,9999-01-01,d003,Staff
55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,d005,Senior Engineer
55691,Xuejun,Kusakari,1964-10-07,1994-08-08,9999-01-01,d007,Staff
55705,Debaprosad,Pargas,1964-09-07,1993-12-25,9999-01-01,d005,Technique Leader
55744,Henk,Swab,1964-01-27,1993-08-23,9999-01-01,d004,Senior Engineer
55771,Huican,Demeyer,1964-01-13,1991-03-12,9999-01-01,d004,Senior Engineer
55789,Satosi,Versino,1964-02-24,1998-10-24,9999-01-01,d004,Engineer
55796,Qiwen,Milicia,1964-06-01,1996-08-17,9999-01-01,d007,Senior Staff
55797,Jaewon,Ranft,1964-08-08,1992-07-14,9999-01-01,d007,Staff
55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,d004,Senior Engineer
55802,Larisa,Diderrich,1964-01-09,1992-09-14,9999-01-01,d005,Senior Engineer
55811,Shigeu,Capobianchi,1964-01-06,1990-03-30,9999-01-01,d005,Senior Engineer
55813,Conor,Schneeberger,1964-05-01,1988-06-14,9999-01-01,d004,Senior Engineer
55817,Ayonca,Dusink,1964-07-08,1997-08-06,9999-01-01,d006,Engineer
55828,Jaques,Tetzlaff,1964-08-20,1998-09-28,9999-01-01,d007,Senior Staff
55850,Feiyu,Koprowski,1964-05-16,1994-06-25,9999-01-01,d004,Technique Leader
55857,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,d007,Staff
55868,Fai,Hashii,1964-05-17,1989-01-27,9999-01-01,d004,Engineer
55920,Vishwani,Collette,1964-03-22,1993-05-12,9999-01-01,d009,Staff
55937,Renee,Schneeberger,1964-01-17,1986-08-19,9999-01-01,d001,Staff
55940,Ziyad,Ramsay,1964-09-02,1987-11-07,9999-01-01,d005,Technique Leader
55965,Basim,Mitzlaff,1964-03-21,1994-12-18,9999-01-01,d007,Staff
55968,Jacopo,Coorg,1964-10-09,1992-01-16,9999-01-01,d005,Senior Engineer
55990,Jouko,Usery,1964-03-14,1993-07-15,9999-01-01,d003,Staff
56017,Nikolaus,Tischendorf,1964-09-27,1997-06-30,9999-01-01,d007,Staff
56024,Gopalakrishnan,Atrawala,1964-11-10,1994-10-13,9999-01-01,d004,Senior Engineer
56027,Anneli,Sigstam,1964-12-14,1992-01-19,9999-01-01,d004,Senior Engineer
56042,Gay,Krone,1964-05-17,1987-09-29,9999-01-01,d003,Staff
56055,Uli,Janocha,1964-02-05,1999-11-14,9999-01-01,d005,Technique Leader
56076,Malu,Yamaashi,1964-11-08,1999-10-01,9999-01-01,d002,Staff
56094,Charlene,Breugel,1964-02-28,1995-07-24,9999-01-01,d009,Staff
56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,d005,Senior Engineer
56113,Aleksander,Strehl,1964-08-13,1992-02-05,9999-01-01,d007,Staff
56119,Alejandra,Varker,1964-02-03,1986-07-04,9999-01-01,d005,Senior Engineer
56122,Shounak,Chiodo,1964-09-06,1989-10-30,9999-01-01,d005,Technique Leader
56124,Oldrich,Wroclawski,1964-05-11,1987-10-13,9999-01-01,d004,Senior Engineer
56152,Zhenhua,Covnot,1964-05-08,1995-08-13,9999-01-01,d005,Senior Engineer
56160,Miomir,Kadhim,1964-08-20,1993-02-06,9999-01-01,d003,Staff
56161,Guiseppe,Azumi,1964-01-16,1988-09-01,9999-01-01,d008,Staff
56165,Constantine,Erdi,1964-12-07,1992-03-09,9999-01-01,d007,Staff
56204,Teiji,Itschner,1964-11-26,1990-01-27,9999-01-01,d005,Senior Engineer
56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,d004,Senior Engineer
56220,Candido,Deville,1964-11-21,1986-05-24,9999-01-01,d004,Senior Engineer
56233,Gunilla,Cincotta,1964-04-15,2001-11-09,9999-01-01,d004,Senior Engineer
56234,Yongqiao,Gecsei,1964-05-09,1999-06-19,9999-01-01,d004,Engineer
56249,Ghassan,Erbe,1964-11-14,1991-10-21,9999-01-01,d004,Senior Engineer
56257,Harngdar,Comellas,1964-04-30,1999-05-05,9999-01-01,d008,Staff
56258,Boutros,Foong,1964-04-06,1991-04-13,9999-01-01,d005,Engineer
56274,Marin,Schmiedel,1964-03-12,1995-11-26,9999-01-01,d005,Engineer
56282,Kerhong,Varley,1964-04-25,1990-10-17,9999-01-01,d004,Senior Staff
56307,Luigi,Gewali,1964-04-25,1999-02-22,9999-01-01,d008,Senior Engineer
56343,Karlis,Bahi,1964-02-26,1988-12-21,9999-01-01,d007,Staff
56344,Krisda,Kowalchuk,1964-05-30,1997-03-25,9999-01-01,d005,Engineer
56349,Honesty,Sethi,1964-12-01,1986-01-27,9999-01-01,d004,Senior Engineer
56362,Florina,Marrevee,1964-11-03,1985-10-13,9999-01-01,d005,Senior Engineer
56373,Brewster,Besancenot,1964-09-24,1997-02-02,9999-01-01,d006,Assistant Engineer
56383,Mani,Schlenzig,1964-04-12,1987-05-25,9999-01-01,d005,Senior Engineer
56415,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,d002,Staff
56419,Yuchang,Keustermans,1964-03-21,1995-02-09,9999-01-01,d004,Senior Engineer
56428,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,d007,Staff
56434,Tze,Ranai,1964-06-09,1997-01-27,9999-01-01,d006,Senior Engineer
56440,Magy,Tsukuda,1964-11-21,1999-06-13,9999-01-01,d005,Engineer
56456,Yakichi,Spinelli,1964-05-12,1997-07-10,9999-01-01,d003,Senior Staff
56484,Mahendra,Seuren,1964-03-20,1990-09-02,9999-01-01,d006,Engineer
56493,Mayuri,Escriba,1964-11-09,1991-09-24,9999-01-01,d002,Staff
56523,Yannis,Asrin,1964-05-08,1994-03-29,9999-01-01,d007,Staff
56535,Shuky,Hasenauer,1964-10-19,1998-11-28,9999-01-01,d007,Staff
56536,Eishiro,Hammerschmidt,1964-09-25,1989-07-22,9999-01-01,d009,Staff
56554,Feiyu,Chepyzhov,1964-07-20,1994-06-28,9999-01-01,d005,Senior Engineer
56555,Ziyad,Picht,1964-06-07,1998-11-17,9999-01-01,d007,Staff
56576,Rimli,Rodiger,1964-03-22,1989-02-18,9999-01-01,d007,Staff
56599,Hugh,Hooghiemstra,1964-11-04,1997-06-27,9999-01-01,d007,Senior Staff
56623,Yongqiao,Perly,1964-08-03,1991-06-24,9999-01-01,d005,Senior Engineer
56624,Shigehito,Mahmud,1964-10-07,1993-04-01,9999-01-01,d001,Senior Staff
56629,Arun,Gulla,1964-07-02,1987-04-20,9999-01-01,d004,Senior Engineer
56640,Rosita,Janocha,1964-12-07,1997-04-23,9999-01-01,d005,Engineer
56646,Zhigen,Swan,1964-09-03,1991-03-15,9999-01-01,d004,Senior Engineer
56669,Akeel,Birnbaum,1964-02-29,1995-11-29,9999-01-01,d002,Staff
56676,Zhensheng,Milicic,1964-08-14,1999-03-15,9999-01-01,d008,Senior Engineer
56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,d005,Assistant Engineer
56683,Jayson,Krider,1964-05-22,1996-04-08,9999-01-01,d006,Engineer
56729,Lucien,Nitsche,1964-04-24,1988-10-17,9999-01-01,d004,Senior Engineer
56735,Yuuichi,Gomatam,1964-05-27,1994-05-22,9999-01-01,d008,Senior Staff
56736,Oscar,Brodie,1964-03-28,1993-09-11,9999-01-01,d007,Staff
56746,Mads,Fadgyas,1964-09-03,1998-10-31,9999-01-01,d007,Senior Staff
56771,Gay,Panienski,1964-11-25,1990-06-21,9999-01-01,d005,Senior Engineer
56773,Jianhua,Parascandalo,1964-08-03,1995-07-31,9999-01-01,d008,Senior Engineer
56798,Jiakeng,Lanzelotte,1964-12-27,1998-11-07,9999-01-01,d003,Staff
56806,Naraig,Sudbeck,1964-04-12,1992-06-10,9999-01-01,d004,Senior Engineer
56829,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01,d006,Engineer
56838,Xinan,Veevers,1964-06-21,1986-07-21,9999-01-01,d008,Staff
56847,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01,d006,Senior Engineer
56848,Urs,Stentiford,1964-10-12,1996-04-09,9999-01-01,d005,Senior Engineer
56875,Nikolaus,Kropatsch,1964-03-02,1996-04-26,9999-01-01,d001,Staff
56876,Steen,Matzel,1964-10-01,1987-11-02,9999-01-01,d005,Senior Engineer
56886,Sadok,Papsdorf,1964-09-18,1997-03-22,9999-01-01,d007,Staff
56896,Kankanahalli,Poehlman,1964-11-27,1995-02-05,9999-01-01,d004,Engineer
56897,Qingxiang,Farris,1964-06-19,1989-06-06,9999-01-01,d005,Senior Engineer
56900,Seshu,Stentiford,1964-10-15,1991-06-06,9999-01-01,d006,Senior Engineer
56911,Pranjal,Massonet,1964-01-22,1989-03-24,9999-01-01,d005,Senior Engineer
56913,Ranan,Murtagh,1964-04-12,1987-08-13,9999-01-01,d004,Senior Engineer
56928,Zhigen,Nyrup,1964-02-17,1988-05-15,9999-01-01,d007,Senior Staff
56932,Zhiwei,Ashish,1964-02-02,2002-02-07,9999-01-01,d009,Engineer
56946,Gian,Casley,1964-12-07,1992-08-18,9999-01-01,d007,Senior Staff
56960,Hatsukazu,Backhouse,1964-05-23,1990-02-20,9999-01-01,d005,Senior Engineer
56974,Taegyun,Brodal,1964-06-28,1988-09-20,9999-01-01,d007,Senior Staff
57057,Stafford,Matheson,1964-02-02,1990-07-13,9999-01-01,d005,Engineer
57063,Selwyn,Thibadeau,1964-12-27,1990-06-11,9999-01-01,d002,Staff
57074,Niranjan,Ventosa,1964-02-29,1998-10-22,9999-01-01,d003,Staff
57129,Shai,Navazio,1964-12-31,1998-01-27,9999-01-01,d005,Senior Engineer
57132,Visit,Schiper,1964-01-06,1987-07-10,9999-01-01,d003,Senior Staff
57147,Sigeru,Rebaine,1964-05-18,2001-06-10,9999-01-01,d009,Staff
57216,Vidya,Clemencon,1964-12-15,1993-09-20,9999-01-01,d004,Senior Engineer
57254,Aleksander,Ghemri,1964-04-08,1997-10-12,9999-01-01,d007,Staff
57274,Kazuhiko,Georgatos,1964-12-12,1997-09-07,9999-01-01,d001,Staff
57290,Giao,Poupard,1964-10-25,1999-11-11,9999-01-01,d007,Staff
57321,Girolamo,Eterovic,1964-04-24,1990-08-06,9999-01-01,d002,Staff
57343,Adil,Heuser,1964-11-19,1991-10-27,9999-01-01,d005,Engineer
57354,Billie,Ciolek,1964-03-31,1988-02-27,9999-01-01,d005,Senior Engineer
57356,Petter,Nishimukai,1964-07-23,1988-05-30,9999-01-01,d007,Staff
57387,Ottavia,Ballarin,1964-02-03,1994-07-12,9999-01-01,d005,Senior Engineer
57401,Xiaocheng,Fiutem,1964-09-22,1997-11-12,9999-01-01,d009,Staff
57411,Pantung,Harnett,1964-05-01,1987-12-31,9999-01-01,d007,Staff
57424,Jaques,Magliocco,1964-07-31,1997-03-07,9999-01-01,d001,Staff
57430,Along,Borstler,1964-07-12,2000-01-08,9999-01-01,d002,Staff
57434,Jaques,Hennings,1964-07-11,2001-12-03,9999-01-01,d006,Senior Engineer
57469,Boguslaw,Kragelund,1964-06-10,1998-10-14,9999-01-01,d006,Engineer
57507,Berhard,Kroft,1964-04-09,1987-12-01,9999-01-01,d008,Staff
57509,Mabo,Stanfel,1964-05-23,1987-08-02,9999-01-01,d005,Senior Engineer
57534,Dmitri,Esteva,1964-01-31,1994-09-03,9999-01-01,d001,Staff
57538,Christophe,Kakkad,1964-02-14,1986-01-25,9999-01-01,d004,Technique Leader
57555,Gino,Trumbly,1964-07-21,1999-11-15,9999-01-01,d002,Staff
57570,Goncalo,Pleszkun,1964-01-06,1999-09-09,9999-01-01,d001,Senior Staff
57576,Rosalyn,Olivero,1964-06-07,1991-01-10,9999-01-01,d009,Senior Staff
57605,Kwangyoen,Felder,1964-12-28,1999-09-30,9999-01-01,d006,Engineer
57624,Demos,Belinskaya,1964-07-14,1987-09-02,9999-01-01,d002,Staff
57642,Saddek,Felcyn,1964-01-10,1997-04-10,9999-01-01,d005,Engineer
57654,Gurbir,Liedekerke,1964-06-17,1998-07-15,9999-01-01,d001,Senior Staff
57703,Bedrich,Vecchio,1964-12-16,1988-09-04,9999-01-01,d004,Senior Engineer
57717,Yonghong,Ernst,1964-04-12,1985-08-17,9999-01-01,d007,Staff
57729,Zdislav,Juneja,1964-06-23,1998-06-26,9999-01-01,d005,Engineer
57742,Huican,Karlin,1964-11-12,2000-05-23,9999-01-01,d005,Staff
57745,Nadjib,Boguraev,1964-09-16,1997-04-23,9999-01-01,d006,Senior Engineer
57746,Doowon,Masada,1964-12-05,1997-11-11,9999-01-01,d006,Senior Engineer
57760,Reinhard,VanScheik,1964-05-31,1985-04-28,9999-01-01,d008,Staff
57772,Tomoyuki,Stamatiou,1964-08-11,2001-10-19,9999-01-01,d001,Staff
57774,Aksel,Bain,1964-01-15,1995-06-27,9999-01-01,d003,Staff
57805,Chenye,Chimia,1964-01-15,1991-05-22,9999-01-01,d004,Technique Leader
57810,Greger,Kakkad,1964-02-06,2001-02-19,9999-01-01,d007,Staff
57811,Indrajit,Merel,1964-05-22,1996-02-17,9999-01-01,d001,Staff
57814,Jovan,Luke,1964-10-11,1996-05-01,9999-01-01,d003,Senior Staff
57818,Shao,Vendrig,1964-03-13,1999-12-11,9999-01-01,d008,Staff
57830,Kristin,Pietrzykowski,1964-09-25,1989-01-31,9999-01-01,d004,Technique Leader
57831,Kwangjo,Zaumen,1964-10-20,1985-08-26,9999-01-01,d004,Senior Engineer
57871,Pramod,Hmelo,1964-08-14,1995-08-28,9999-01-01,d007,Staff
57881,Giap,Demeyer,1964-02-20,1987-03-18,9999-01-01,d007,Staff
57900,Constantino,Murillo,1964-08-04,1988-07-29,9999-01-01,d001,Staff
57905,Khaled,Molenaar,1964-02-03,1994-12-26,9999-01-01,d006,Engineer
57914,Frazer,Hempstead,1964-02-09,1992-05-12,9999-01-01,d007,Staff
57920,Ymte,Showalter,1964-06-22,1987-06-15,9999-01-01,d005,Senior Engineer
57927,Aral,Roison,1964-01-19,1990-08-09,9999-01-01,d004,Technique Leader
57934,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,d005,Senior Engineer
57962,Phillip,Papadias,1964-08-01,1988-09-02,9999-01-01,d005,Senior Engineer
57966,Arfst,Boguraev,1964-03-09,1993-07-15,9999-01-01,d004,Senior Engineer
57974,Yakichi,Hettesheimer,1964-06-03,1986-02-24,9999-01-01,d004,Senior Engineer
58001,Percy,Trachtenberg,1964-01-03,1993-08-11,9999-01-01,d005,Engineer
58042,Xuedong,Bale,1964-07-21,1998-01-06,9999-01-01,d005,Engineer
58079,Guoxiang,Gini,1964-05-16,1991-04-03,9999-01-01,d003,Staff
58093,Taegyun,Ravishankar,1964-08-26,1991-09-08,9999-01-01,d005,Senior Engineer
58097,Arlette,Marletta,1964-09-07,1997-02-07,9999-01-01,d005,Senior Engineer
58110,Jaana,Krzyzanowski,1964-12-09,1995-12-17,9999-01-01,d003,Staff
58141,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,d002,Staff
58144,Moon,Bazzichi,1964-03-03,1985-07-16,9999-01-01,d004,Engineer
58147,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,d001,Senior Staff
58163,Paraskevi,Krogh,1964-10-13,1996-05-27,9999-01-01,d005,Engineer
58172,Jingling,Ghelli,1964-01-07,1992-02-12,9999-01-01,d007,Staff
58188,Sadegh,Brendel,1964-05-21,2000-01-19,9999-01-01,d009,Staff
58193,Kerhong,Narlikar,1964-01-28,1986-12-22,9999-01-01,d005,Senior Engineer
58198,Przemyslawa,Oppitz,1964-02-16,1998-02-07,9999-01-01,d001,Senior Staff
58212,Yurii,Himler,1964-02-21,1986-08-22,9999-01-01,d005,Senior Engineer
58244,Mohd,Androutsos,1964-10-06,1986-12-17,9999-01-01,d002,Senior Staff
58248,Menkae,Krzyzanowski,1964-06-08,1985-02-11,9999-01-01,d004,Senior Engineer
58268,Manu,Shokrollahi,1964-08-02,1991-10-05,9999-01-01,d005,Senior Engineer
58289,Stella,Itzfeldt,1964-04-11,1993-10-05,9999-01-01,d007,Staff
58290,Lucien,Picco,1964-02-16,1992-09-09,9999-01-01,d005,Senior Engineer
58294,Jordanka,Rajala,1964-08-20,1986-09-28,9999-01-01,d007,Staff
58295,Stabislas,Pena,1964-06-20,1994-05-16,9999-01-01,d009,Staff
58313,Ronghao,Engelmann,1964-03-27,2000-01-22,9999-01-01,d005,Engineer
58315,Jiafu,Leonhardt,1964-09-03,1997-02-20,9999-01-01,d005,Senior Engineer
58322,Arie,Coombs,1964-11-21,1993-01-29,9999-01-01,d004,Senior Engineer
58365,Sashi,Lorho,1964-12-16,1987-05-09,9999-01-01,d001,Staff
58367,Mark,Goldhammer,1964-09-15,1993-09-29,9999-01-01,d006,Senior Engineer
58373,Jouni,Chvatal,1964-05-23,1987-03-21,9999-01-01,d006,Senior Engineer
58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,d005,Senior Engineer
58386,Brendon,Weedman,1964-09-25,1986-02-14,9999-01-01,d005,Engineer
58402,Stabislas,Monarch,1964-08-10,1992-05-05,9999-01-01,d005,Engineer
58441,Shmuel,Anger,1964-11-29,1989-01-08,9999-01-01,d007,Staff
58450,Stepehn,Taubenfeld,1964-11-09,2001-10-18,9999-01-01,d009,Staff
58454,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01,d004,Engineer
58494,Uwe,Kambil,1964-05-31,1990-12-30,9999-01-01,d004,Senior Engineer
58497,Yechiam,Cairo,1965-01-22,2000-10-21,9999-01-01,d001,Senior Staff
58504,Ortrud,Pileggi,1964-11-23,1988-12-04,9999-01-01,d006,Senior Engineer
58506,Takahiro,Murthy,1964-06-29,1992-10-21,9999-01-01,d005,Senior Engineer
58512,Odysseas,Msuda,1964-08-10,1997-09-08,9999-01-01,d007,Staff
58540,Sadun,Shihab,1964-09-14,1992-05-23,9999-01-01,d005,Senior Engineer
58561,Kazuhiko,Michaeli,1964-12-24,1993-09-19,9999-01-01,d007,Senior Staff
58568,Mansur,Kowalchuk,1964-12-29,1986-10-15,9999-01-01,d004,Senior Engineer
58581,Francesca,Mitina,1964-04-11,1991-10-06,9999-01-01,d001,Senior Staff
58596,Basil,Bouloucos,1964-05-03,1989-01-23,9999-01-01,d006,Senior Engineer
58617,Miquel,Perz,1964-02-21,1989-04-03,9999-01-01,d006,Senior Engineer
58629,Aruna,Schonegge,1964-06-28,1999-02-27,9999-01-01,d002,Staff
58633,Ashish,Stifter,1964-08-10,1991-09-21,9999-01-01,d005,Senior Engineer
58660,Taiji,Loncour,1964-02-03,1986-04-25,9999-01-01,d008,Staff
58662,Yahiko,Erdi,1964-02-07,1986-04-08,9999-01-01,d004,Senior Engineer
58681,Makato,Azumi,1964-09-11,1988-09-09,9999-01-01,d004,Senior Engineer
58683,Gilbert,Krogh,1964-04-18,1986-10-12,9999-01-01,d004,Senior Engineer
58698,Janche,Wursthorn,1964-07-31,1991-07-22,9999-01-01,d004,Senior Engineer
58720,Alagu,Leivant,1964-08-07,1999-01-23,9999-01-01,d005,Engineer
58726,Boaz,Litzkow,1964-11-03,1985-08-28,9999-01-01,d003,Staff
58733,Conor,Spataro,1964-06-26,1994-11-13,9999-01-01,d007,Senior Staff
58783,Udi,Morton,1964-01-09,1987-11-21,9999-01-01,d005,Senior Engineer
58803,Gil,Pleszkun,1964-12-24,1998-03-15,9999-01-01,d004,Senior Engineer
58816,Vasilii,Lambe,1964-02-20,1987-01-04,9999-01-01,d004,Technique Leader
58819,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,d007,Senior Staff
58861,Jianhui,Goodrum,1964-12-20,1994-06-27,9999-01-01,d001,Staff
58868,Zhilian,Warwick,1964-07-15,1998-08-16,9999-01-01,d006,Engineer
58893,Khedija,Yamaashi,1964-06-29,1998-12-29,9999-01-01,d005,Assistant Engineer
58906,Xumin,Passafiume,1964-12-11,1994-12-29,9999-01-01,d007,Staff
58910,Ramzi,Savasere,1964-07-05,1998-03-17,9999-01-01,d004,Assistant Engineer
58918,Tremaine,Gecsei,1964-12-04,1986-05-24,9999-01-01,d007,Staff
58936,Nikolaos,Cannata,1964-10-06,1995-12-10,9999-01-01,d002,Senior Staff
58940,Uri,Xiaoshan,1964-05-02,1991-07-09,9999-01-01,d005,Senior Engineer
58954,Arve,Boreale,1964-05-25,1990-02-14,9999-01-01,d005,Senior Engineer
58958,Kristin,Thebaut,1964-03-25,1993-08-30,9999-01-01,d004,Senior Engineer
58982,Xiaoqiu,Petersohn,1964-02-26,1999-04-03,9999-01-01,d004,Technique Leader
58990,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,d005,Engineer
58997,Uriel,Taubenfeld,1964-08-15,1990-12-25,9999-01-01,d007,Staff
59041,Bingning,Veevers,1964-06-07,1993-10-20,9999-01-01,d007,Staff
59045,Freyja,Gien,1964-03-31,1985-05-26,9999-01-01,d004,Technique Leader
59077,Yuping,Strooper,1964-04-18,1988-12-16,9999-01-01,d008,Staff
59103,Pranas,Zaiane,1964-07-29,1999-07-11,9999-01-01,d001,Staff
59117,Akhilish,Kobuchi,1964-03-11,1986-02-18,9999-01-01,d007,Staff
59133,Lokesh,Pietracaprina,1964-11-02,1985-03-21,9999-01-01,d004,Senior Engineer
59149,Hidefumi,Ishibashi,1964-05-14,1990-02-23,9999-01-01,d001,Staff
59160,Arun,Salvesen,1964-01-31,1996-08-12,9999-01-01,d002,Staff
59173,Pranas,Maccarone,1964-03-14,1999-06-20,9999-01-01,d008,Staff
59191,Goh,Goodrum,1964-11-30,1999-05-11,9999-01-01,d006,Senior Engineer
59195,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,d005,Technique Leader
59196,Atreye,Nishimukai,1964-03-12,1995-05-18,9999-01-01,d005,Senior Engineer
59214,Hitomi,Eiter,1964-01-16,1990-12-03,9999-01-01,d007,Senior Staff
59243,Kazuhira,Curless,1964-06-13,1988-09-10,9999-01-01,d005,Senior Engineer
59282,Teiji,Garnick,1964-12-22,1987-03-28,9999-01-01,d007,Staff
59353,Pradeep,Kossowski,1964-06-06,1991-06-22,9999-01-01,d007,Staff
59357,Mark,Barriga,1964-07-06,1986-12-05,9999-01-01,d004,Senior Engineer
59359,Serif,Pollock,1964-12-27,1989-08-31,9999-01-01,d001,Staff
59361,Shawna,Perez,1964-04-29,1998-02-24,9999-01-01,d007,Staff
59367,Bernd,Murtagh,1964-07-08,1994-11-28,9999-01-01,d008,Staff
59385,Wanqing,Rande,1964-07-18,1985-06-20,9999-01-01,d005,Senior Engineer
59428,Tse,Hofting,1964-05-13,1985-12-12,9999-01-01,d004,Senior Engineer
59436,Xiahua,Flasterstein,1964-11-19,1998-11-04,9999-01-01,d007,Staff
59437,Zeljko,Kobuchi,1964-11-02,1987-11-08,9999-01-01,d004,Senior Engineer
